cochlea cochleae
codex codices
codfish codfishes
coelenteron coelentera
coenurus coenuri
cognomen cognomina
cognosente cognosenti
coleorhiza coleorhizae
collegium collegia
colloquium colloquia
colluvium colluvia
collyrium collyria
colon colones cola
colossus colossi
columbarium columbaria
columella columellae
coma comae
comatula comatulae
comedo comedones
comic comics comic_strip
commando commandoes
concertante concertanti
concertino concertini
concerto concerti
concha conchae
condottiere condottieri
condyloma condylomata
conferva confervae
congius congii
conidium conidia
conjunctiva conjunctivae
conquistador conquistadores
consortium consortia
contagium contagia
continuum continua
contralto contralti
conversazione conversazioni
convolvulus convolvuli
copula copulae
corbicula corbiculae
corium coria
cornea corneae
cornu cornua
corona coronae
corpus corpora
corrigendum corrigenda
cortex cortices
cortina cortinae
corybant corybantes
coryphaeus coryphaei
costa costae
cothurnus cothurni
couteau couteaux
cowfish cowfishes
coxa coxae
crambo cramboes
cranium crania
crasis crases
crawfish crawfishes
crayfish crayfishes
credendum credenda
crematorium crematoria
crescendo crescendi
cribellum cribella
crisis crises
crissum crissa
crista cristae
criterion criteria
crus crura
crusado crusadoes
crux cruces
cruzado cruzadoes
cry cryings crying
ctenidium ctenidia
cubiculum cubicula
culex culices
culpa culpae
cultus culti
cumulonimbus cumulonimbi
cumulostratus cumulostrati
cumulus cumuli
curia curiae
curriculum curricula
custos custodes
cuticula cuticulae
cutis cutes
cuttlefish cuttlefishes
cyclops cyclopes
cyclosis cycloses
cylix cylikes cylices
cyma cymae
cymatium cymatia
cypsela cypselae
cysticercus cysticerci
dado dadoes
dago dagoes
daimio daymio daymios
damselfish damselfishes
datum data
dealfish dealfishes
decemvir decemviri
decennium decennia
decidua deciduae
definiendum definienda
definiens definientia
delphinium delphinia
denarius denarii
dentalium dentalia
dermatosis dermatoses
desideratum desiderata
desperado desperadoes
devilfish devilfishes
diaeresis diaerses diaereses
diagnosis diagnoses
dialysis dialyses
diaphysis diaphyses
diapophysis diapophyses
diarthrosis diarthroses
diastalsis diastalses
diastasis diastases
diastema diastemata
diathesis diathses
diazo diazoes
dibbuk dibbukkim
dichasium dichasia
dictum dicta
dido didoes
dieresis diereses
diesis dieses
differentia differentiae
dilettante dilettanti
diluvium diluvia
dingo dingoes
diplococcus diplococci
discobolus discoboli discobolos
discus disci
diva dive
diverticulum diverticula
divertimento divertimenti
djinny djinn djinni
dodo dodoes
dogfish dogfishes
dogma dogmata
dogtooth dogteeth
dollarfish dollarfishes
domatium domatia
domino dominoes
dormouse dormice
dorsum dorsa
drachma drachmae
drawknife drawknives
drosophila drosophilae
drumfish drumfishes
dryad dryades
duo dui
duodenum duona duonas
dupondius dupondii
duumvir duumviri
dwarf dwarves
dybbuk dybbukkim
ecchymosis ecchymoses
ecclesia ecclesiae
ecdysis ecdyses
echidna echidnae
echinococcus echinococci
echinus echini
echo echoes
ectozoan ectozoa
eddo eddoes
edema edemata
effluvium effluvia
eidolon eidola
eisegesis eisegeses
eisteddfod eisteddfodau
elenchus elenchi
ellipsis ellipses
eluvium eluvia
elytrum elytra elytron
embargo embargoes
embolus emboli
emphasis emphases
emporium emporia
enarthrosis enarthroses
encephalitis encephalitides
encephaloma encephalomata
encephalon encephala
enchiridion enchiridia
enchondroma enchondromata
encomium encomia
endameba endamebae
endamoeba endamoebae
endocardium endocardia
endocranium endocrania
endometrium endometria
endosteum endostea
endostosis endostoses
endothecium endothecia
endothelioma endotheliomata
endothelium endothelia
endozoan endozoa
enema enemata
enneahedron enneahedra
ens entia
entameba entamebae
entamoeba entamoebae
entasis entases
enteron entera
entozoon entozoa entozoan
epencephalon epencephala
epenthesis epentheses
epexegesis epexegeses
ephemera ephemerae
ephemeris ephemerides
ephemeron ephemera
ephor ephori
epicalyx epicalyces
epicanthus epicanthi
epicardium epicardia
epicedium epicedia
epiclesis epicleses
epididymis epididymides
epigastrium epigastria
epiglottis epiglottides
epimysium epimysia
epiphenomenon epiphenomena
epiphysis epiphyses
episternum episterna
epithalamium epithalamia epithalamion
epithelioma epitheliomata
epithelium epithelia
epizoon epizoan epizoa
epyllion epyllia
equilibrium equilibria
equisetum equiseta
eringo eringoes
erratum errata
eryngo eryngoes
esophagus esophagi
etymon etyma
eucalyptus eucalypti
eupatrid eupatridae
euripus euripi
exanthema exanthemata
executrix executrices
exegesis exegeses
exemplum exempla
exordium exordia
exostosis exostoses
extremum extrema
eyetooth eyeteeth
eyir aurar
eyrir aurar
fabliau fabliaux
facia faciae
facula faculae
faeroese faeroese
fallfish fallfishes
famulus famuli
faroese faroese
farrago farragoes
fascia fasciae
fasciculus fasciculi
fatso fatsoes
fauna faunae
fecula feculae
fedayee fedayeen
fellah fellahin fellaheen
femur femora
fenestella fenestellae
fenestra fenestrae
feria feriae
fermata fermate
ferula ferulae
festschrift festschriften
fetial fetiales
fez fezzes
fiasco fiascoes
fibrilla fibrillae
fibroma fibromata
fibula fibulae
fico ficoes
fideicommissum fideicommissa
fieldmouse fieldmice
fig. figs.
filaria filariiae
filefish filefishes
filum fila
fimbria fimbriae
fish fishes
fishwife fishwives
fistula fistulae
flabellum flabella
flagellum flagella
flagstaff flagstaves
flambeau flambeaux
flamen flamines
